obs_date,sat_date,NDVI,TCB,TCG,TCW,status
27-09-11,23-09-11,1934,4377,214,-2544,1
02-10-11,09-10-11,1809,4822,94,-2981,1
01-09-11,04-09-11,1260,5409,70,-2693,1
17-09-14,17-09-14,412,1578,-80,-382,1
29-09-14,07-10-14,2247,4184,239,-2583,1
29-09-14,07-10-14,1756,3516,-28,-2754,1
29-09-14,07-10-14,1441,4261,-7,-2800,1
03-10-14,06-10-14,2042,3722,204,-2026,1
02-09-15,18-08-15,4732,1677,554,-607,1
13-09-15,14-09-15,1627,4979,115,-2582,1
16-09-15,16-09-15,3855,4348,877,-2396,1
18-09-15,16-09-15,3661,3937,715,-2282,1
27-09-15,23-09-15,1773,6697,390,-3490,1
02-09-14,04-09-14,2123,4045,209,-2677,1
07-09-14,05-09-14,1106,6351,20,-2752,1
20-09-14,19-09-14,1066,6826,171,-2542,1
05-09-14,02-09-14,2656,3237,318,-2129,1
12-09-14,09-09-14,2473,3841,361,-2231,1
14-09-14,09-09-14,1985,4139,379,-1909,1
19-09-14,19-09-14,600,6554,-270,-3302,1
